"service_quote_id","service_id","name","index","quote","unit","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
2678,1007,"(SG-SMF1)0 ~ 30","101_days30",0.0000,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2679,1007,"31 ~ 60","101_days60",0.2800,"per CBM per day","2022-12-27 00:00:00","2024-01-07 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-01-08 01:34:58",0
2680,1007,"61 ~ 90","101_days_geq61_leq90",0.4800,"per CBM per day","2022-12-27 00:00:00","2024-01-07 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-01-08 01:34:58",0
2681,1007,"(SG-SMF1)91 ~ 120","101_days120",1.0000,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2682,1007,"(SG-SMF1)121 ~ 180","101_days180",1.2000,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2683,1007,"(SG-SMF1)181 ~ 270","101_days270",1.5000,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2684,1007,"271 ~ 365","101_days365",2.0000,"per CBM per day","2022-12-27 00:00:00","2024-01-07 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-01-08 01:34:58",0
2685,1007,"365+","101_days_other",3.5000,"per CBM per day","2022-12-27 00:00:00","2024-01-07 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-01-08 01:34:58",0
2686,1007,"(SG-MEM1)0 ~ 30","103_days30",0.0000,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2687,1007,"(SG-MEM1)31 ~ 60","103_days60",0.2800,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2688,1007,"(SG-MEM1)61 ~ 90","103_days_geq61_leq90",0.4800,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2689,1007,"(SG-MEM1)91 ~ 120","103_days120",1.0000,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
2690,1007,"(SG-MEM1)121 ~ 180","103_days180",1.2000,"per CBM per day","2022-12-27 00:00:00","2099-12-31 23:59:59",0,0,0,,"2022-12-27 09:23:38",0,"2024-03-27 08:57:48",0
