rate_id,service_id,weight,unit,zone,fee,start_date,end_date,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,3337,15,oz,1,6.01,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,1,oz,2,3.96,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,2,oz,2,3.96,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,3,oz,2,3.96,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,4,oz,2,3.96,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,5,oz,2,4.19,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,6,oz,2,4.19,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,7,oz,2,4.19,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,8,oz,2,4.19,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,9,oz,2,4.84,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,10,oz,2,4.84,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,11,oz,2,4.84,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,12,oz,2,4.84,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,13,oz,2,6.1,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,14,oz,2,6.1,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,15,oz,2,6.1,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,1,oz,3,3.98,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,2,oz,3,3.98,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,3,oz,3,3.98,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,4,oz,3,3.98,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,5,oz,3,4.22,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,6,oz,3,4.22,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,7,oz,3,4.22,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,8,oz,3,4.22,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,9,oz,3,4.88,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,10,oz,3,4.88,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,11,oz,3,4.88,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,3337,12,oz,3,4.88,2025/1/6 0:00,2099/12/31 23:59,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
